product,category,sub_category,brand,sale_price,market_price,type,rating,discount,discount%
Garlic Oil - Vegetarian Capsule 500 mg,Beauty & Hygiene,Hair Care,Sri Sri Ayurveda ,220,220,Hair Oil & Serum,4.1,0,0.0
Water Bottle - Orange,"Kitchen, Garden & Pets",Storage & Accessories,Mastercook,180,180,Water & Fridge Bottles,2.3,0,0.0
"Brass Angle Deep - Plain, No.2",Cleaning & Household,Pooja Needs,Trm,119,250,Lamp & Lamp Oil,3.4,131,52.4
Cereal Flip Lid Container/Storage Jar - Assorted Colour,Cleaning & Household,Bins & Bathroom Ware,Nakoda,149,176,"Laundry, Storage Baskets",3.7,27,15.3
Creme Soft Soap - For Hands & Body,Beauty & Hygiene,Bath & Hand Wash,Nivea,162,162,Bathing Bars & Soaps,4.4,0,0.0
Germ - Removal Multipurpose Wipes,Cleaning & Household,All Purpose Cleaners,Nature Protect,169,199,Disinfectant Spray & Cleaners,3.3,30,15.1
Multani Mati,Beauty & Hygiene,Skin Care,Satinance,58,58,Face Care,3.6,0,0.0
Hand Sanitizer - 70% Alcohol Base,Beauty & Hygiene,Bath & Hand Wash,Bionova,250,250,Hand Wash & Sanitizers,4,0,0.0
Biotin & Collagen Volumizing Hair Shampoo + Biotin & Collagen Hair Conditioner,Beauty & Hygiene,Hair Care,StBotanica,1098,1098,Shampoo & Conditioner,3.5,0,0.0
"Scrub Pad - Anti- Bacterial, Regular",Cleaning & Household,"Mops, Brushes & Scrubs",Scotch brite,20,20,"Utensil Scrub-Pad, Glove",4.3,0,0.0
Wheat Grass Powder - Raw,Gourmet & World Food,Cooking & Baking Needs,NUTRASHIL,261,290,Flours & Pre-Mixes,4,29,10.0
Butter Cookies Gold Collection,Gourmet & World Food,Chocolates & Biscuits,Sapphire,600,600,"Luxury Chocolates, Gifts",2.2,0,0.0
"Face Wash - Oil Control, Active",Beauty & Hygiene,Skin Care,Oxy,110,110,Face Care,5,0,0.0
Mold & Mildew Remover with Bleach,Cleaning & Household,All Purpose Cleaners,Clorox,350,350,Floor & Other Cleaners,3.8,0,0.0
Just Spray - Mosquito Repellent Room Spray,Cleaning & Household,Fresheners & Repellents,Herbal Strategi,200,200,Mosquito Repellent,4.2,0,0.0
Dove Plastic Soap Case - Assorted Colour,Cleaning & Household,Bins & Bathroom Ware,Nakoda,49,59,Soap Cases & Dispensers,4,10,16.9
Smooth Skin Oil - For Dry Skin,Beauty & Hygiene,Skin Care,Aroma Treasures,324,360,Aromatherapy,5,36,10.0
Salted Pumpkin,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Graminway,180,180,Roasted Seeds & Nuts,4.9,0,0.0
Flax Seeds - Roasted,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",True Elements,120,120,Roasted Seeds & Nuts,4.3,0,0.0
Organic Tofu - Soy Paneer,Gourmet & World Food,Dairy & Cheese,Murginns,85.14,90,Tofu,3.9,4.86,5.4
Ceramic Barrel Brush - Colour May Vary,Beauty & Hygiene,Hair Care,Bronson Professional,525,700,Tools & Accessories,4.2,175,25.0
Instant Noodles - Chicken Satay Flavor,Gourmet & World Food,"Pasta, Soup & Noodles",Koka,45,50,Imported Noodles,4.1,5,10.0
Chia Seeds,"Foodgrains, Oil & Masala",Dry Fruits,NaturoBell,120,120,Other Dry Fruits,3.9,0,0.0
Cleanse Green Tea - Whole Leaf Loose Tea,Gourmet & World Food,Drinks & Beverages,Cambridge Tea Party,75,75,Gourmet Tea & Tea Bags,3.9,0,0.0
Veggie Cutter,"Kitchen, Garden & Pets",Kitchen Accessories,IRICH,195,195,Choppers & Graters,5,0,0.0
Insulated Hot Fresh Casserole For Roti/Chapati - White,"Kitchen, Garden & Pets",Flask & Casserole,Cello,659,895,Casserole,3.3,236,26.4
Granola - Happy Berries,Snacks & Branded Foods,Breakfast Cereals,Fit & Flex,245,265,Granola & Cereal Bars,3.5,20,7.5
Flaxseed - Pesticide Free,"Foodgrains, Oil & Masala",Dry Fruits,Safe Harvest,53.9,55,Other Dry Fruits,4,1.1,2.0
Paratha Puff,Snacks & Branded Foods,Frozen Veggies & Snacks,Switz,90,110,Frozen Veg Snacks,4.3,20,18.2
Lip Butter - Rose,Beauty & Hygiene,Skin Care,Organic Harvest,169.15,199,Lip Care,1.5,29.85,15.0
Fruit Power - Masala Sugarcane,Beverages,Fruit Juices & Drinks,Real,19,20,Juices,2.9,1,5.0
Chocobakes Choc Filled Cookies,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari",Cadbury,102,120,"Bakery Biscuits, Cookies",4.2,18,15.0
Amber - Deodorant Body Spray,Beauty & Hygiene,Fragrances & Deos,Old Spice,211.65,249,Men's Deodorants,3.4,37.35,15.0
Green Tea - Tulsi Loose Leaf,Beverages,Tea,Octavius,225,225,Green Tea,3.7,0,0.0
Pet Solitaire Container Set - Silver,"Kitchen, Garden & Pets",Storage & Accessories,Steelo,499,969,Containers Sets,3.9,470,48.5
Dhania - Dal,"Foodgrains, Oil & Masala",Masalas & Spices,bb Royal,98,120,Whole Spices,4.1,22,18.3
Pudina Chutney Masala,"Foodgrains, Oil & Masala",Masalas & Spices,Catch,46.75,55,Blended Masalas,3.9,8.25,15.0
Bodylicious Deodorant Spray - Mate (For Men),Beauty & Hygiene,Fragrances & Deos,Engage,136.5,195,Men's Deodorants,4.1,58.5,30.0
"Sport Deo Spray - Fresh, for Men",Beauty & Hygiene,Men's Grooming,Engage,112.75,205,Men's Deodorants,3.7,92.25,45.0
Choco Deck - Mini Delights,Snacks & Branded Foods,Chocolates & Candies,Fabelle,160,200,Chocolates,4.4,40,20.0
Eau De Toilette - Homme Green,Beauty & Hygiene,Fragrances & Deos,Colour Me,427.5,450,Eau De Toilette,4.3,22.5,5.0
Lemon & Tea Tree Oil Soap,Beauty & Hygiene,Bath & Hand Wash,Liril,360,360,Bathing Bars & Soaps,4.2,0,0.0
Flavoured Cream Wafer Roll - Strawberry,Gourmet & World Food,Chocolates & Biscuits,Twister,275,275,"Cookies, Biscotti, Wafer",4.3,0,0.0
